fire_year,stat_cause_descr,fire_size,fire_size_class,latitude,longitude,state,county,discovery_date,cont_date
2005,Children,0.1,A,48.41472222,-115.54805556,MT,53,2453565.5,2453566.5
2005,Campfire,0.1,A,48.40833333,-115.55833333,MT,53,2453561.5,2453561.5
2005,Lightning,0.1,A,43.64527778,-109.9125,WY,13,2453546.5,2453547.5
2005,Miscellaneous,0.1,A,33.66666667,-117.37638889,CA,,2453487.5,2453487.5
2005,Lightning,0.1,A,38.35361111,-119.37805556,CA,51,2453569.5,2453570.5
2005,Miscellaneous,0.1,A,34.65472222,-94.28638889,AR,,2453550.5,2453550.5
2005,Lightning,0.25,A,38.17916667,-118.71166667,NV,21,2453566.5,2453566.5
2005,"Equipment Use",10.0,C,33.71888889,-117.43361111,CA,,2453540.5,2453540.5
2005,"Equipment Use",0.1,A,37.04416667,-119.34388889,CA,,2453517.5,2453517.5
2005,Lightning,80.0,C,38.25555556,-118.48611111,NV,21,2453568.5,2453569.5
2005,Lightning,1.0,B,43.99138889,-118.73277778,OR,25,2453527.5,2453528.5
2005,Railroad,0.61,B,43.065,-103.66055556,SD,47,2453548.5,2453548.5
2005,Lightning,80.0,C,37.345,-102.80583333,CO,,2453558.5,2453558.5
2005,Campfire,0.1,A,48.40777778,-115.55777778,MT,53,2453566.5,2453566.5
2005,Lightning,119.0,D,43.89916667,-102.95472222,SD,103,2453567.5,2453568.5
2005,Lightning,119.0,D,43.89277778,-102.94805556,SD,103,2453567.5,2453567.5
2005,Campfire,0.1,A,43.78333333,-119.0,OR,25,2453534.5,2453534.5
2005,Campfire,0.1,A,46.08055556,-117.89083333,WA,13,2453567.5,2453567.5
2005,Lightning,0.1,A,35.95,-106.71666667,NM,43,2453519.5,2453520.5
2005,Lightning,0.1,A,35.91666667,-106.8,NM,43,2453532.5,2453535.5
2005,Lightning,0.1,A,36.03333333,-106.98333333,NM,43,2453535.5,2453537.5
2005,Miscellaneous,0.1,A,48.83083333,-115.67638889,MT,53,2453427.5,2453427.5
2005,"Debris Burning",0.9,B,48.53888889,-115.93472222,MT,53,2453485.5,2453485.5
2005,"Debris Burning",15.4,C,48.84694444,-115.66222222,MT,53,2453480.5,2453480.5
2005,Lightning,0.25,A,43.80888889,-118.7275,OR,25,2453540.5,2453540.5
2005,Lightning,0.06,A,43.72472222,-119.66055556,OR,25,2453540.5,2453540.5
2005,Lightning,0.1,A,43.77222222,-119.65972222,OR,25,2453540.5,2453541.5
2005,Lightning,0.01,A,43.81166667,-119.68666667,OR,25,2453541.5,2453541.5
2005,Lightning,0.25,A,43.83583333,-119.74138889,OR,25,2453541.5,2453542.5
2005,"Equipment Use",1.0,B,36.69166667,-107.38583333,NM,39,2453545.5,2453545.5
2005,Lightning,0.5,B,38.83972222,-119.88638889,CA,3,2453538.5,2453538.5
2005,Lightning,0.1,A,36.87138889,-107.24777778,NM,39,2453549.5,2453550.5
2005,Arson,0.1,A,39.64972222,-119.86666667,NV,31,2453527.5,2453527.5
2005,Lightning,0.1,A,36.88388889,-107.29083333,NM,39,2453551.5,2453551.5
2005,Lightning,30.0,C,36.93472222,-107.34972222,NM,39,2453565.5,2453567.5
2005,Lightning,0.1,A,36.74194444,-107.2125,NM,39,2453566.5,2453566.5
2005,Lightning,0.5,B,36.65944444,-107.19638889,NM,39,2453568.5,2453569.5
2005,Lightning,0.5,B,36.64583333,-107.22694444,NM,39,2453568.5,2453569.5
2005,"Debris Burning",0.1,A,36.09666667,-106.16166667,NM,39,2453431.5,2453431.5
2005,Campfire,0.1,A,48.305,-115.54166667,MT,53,2453568.5,2453568.5
2005,Campfire,0.1,A,48.40805556,-115.55833333,MT,53,2453567.5,2453567.5
2005,Campfire,0.1,A,48.40805556,-115.50805556,MT,53,2453570.5,2453570.5
2004,Miscellaneous,0.1,A,45.1,-109.3125,MT,9,2453314.5,2453314.5
2005,Campfire,0.3,B,48.41944444,-115.65777778,MT,53,2453564.5,2453565.5
2005,Miscellaneous,0.1,A,35.76888889,-118.43527778,CA,,2453492.5,2453492.5
2005,Miscellaneous,1.0,B,39.11666667,-119.845,NV,5,2453542.5,2453542.5
2005,Lightning,0.75,B,35.70111111,-105.70916667,NM,47,2453521.5,2453521.5
2005,Lightning,0.1,A,38.22666667,-119.34666667,CA,51,2453573.5,2453573.5
2005,Lightning,3.0,B,38.60222222,-119.42972222,NV,5,2453573.5,2453573.5
2005,Miscellaneous,0.1,A,44.48861111,-111.25611111,ID,43,2453567.5,2453567.5
2005,Lightning,0.1,A,38.16888889,-119.31694444,CA,51,2453572.5,2453572.5
2005,Lightning,0.5,B,36.92277778,-107.23638889,NM,39,2453568.5,2453570.5
2005,"Debris Burning",3.0,B,34.74833333,-119.41027778,CA,,2453411.5,2453411.5
2005,Campfire,0.1,A,35.88361111,-121.45694444,CA,,2453415.5,2453415.5
2005,Campfire,0.1,A,36.21805556,-121.49916667,CA,,2453518.5,2453518.5
2005,"Equipment Use",0.1,A,36.44833333,-121.58277778,CA,,2453510.5,2453510.5
2005,Lightning,0.5,B,38.29444444,-119.54,CA,51,2453573.5,2453574.5
2005,Lightning,0.1,A,38.22222222,-119.38694444,CA,51,2453575.5,2453575.5
2005,Lightning,0.1,A,38.3575,-119.36111111,CA,51,2453571.5,2453572.5
2005,Lightning,0.2,A,36.90972222,-107.25583333,NM,39,2453569.5,2453570.5
2005,Lightning,0.1,A,36.94111111,-107.32,NM,39,2453572.5,2453572.5
2005,"Equipment Use",0.1,A,37.53055556,-118.62722222,CA,,2453564.5,2453564.5
2005,Lightning,0.1,A,37.515,-118.59833333,CA,,2453572.5,2453572.5
2005,Campfire,0.1,A,48.40777778,-115.47527778,MT,53,2453574.5,2453574.5
2005,Campfire,0.1,A,48.4075,-115.55861111,MT,53,2453575.5,2453575.5
2005,Lightning,0.5,B,39.08555556,-119.87416667,NV,510,2453573.5,2453573.5
2005,Campfire,0.1,A,42.73638889,-112.38444444,ID,5,2453553.5,2453553.5
2005,Lightning,0.25,A,43.84527778,-119.36583333,OR,25,2453541.5,2453541.5
2005,"Debris Burning",2.0,B,37.94027778,-120.12166667,CA,,2453532.5,2453533.5
2005,Miscellaneous,0.1,A,38.76388889,-119.85388889,CA,3,2453577.5,2453577.5
2005,Campfire,0.1,A,42.83972222,-112.17666667,ID,5,2453555.5,2453555.5
2005,Campfire,0.1,A,42.69138889,-112.36861111,ID,5,2453555.5,2453555.5
2005,Campfire,0.1,A,42.73638889,-112.07222222,ID,5,2453558.5,2453558.5
2005,Campfire,1.0,B,39.47972222,-119.85138889,NV,31,2453549.5,2453550.5
2005,Lightning,0.1,A,33.36861111,-108.60055556,NM,3,2453517.5,2453519.5
2005,"Equipment Use",4.2,B,34.46666667,-119.82833333,CA,,2453544.5,2453544.5
2005,Miscellaneous,90.0,C,35.13583333,-120.0025,CA,,2453552.5,2453554.5
2005,Campfire,0.1,A,34.855,-119.07388889,CA,,2453554.5,2453554.5
2005,Campfire,0.1,A,34.49638889,-119.85111111,CA,,2453562.5,2453562.5
2005,Smoking,0.3,B,36.2425,-121.55111111,CA,,2453567.5,2453568.5
2005,Smoking,0.1,A,36.2425,-121.54805556,CA,,2453567.5,2453567.5
2005,Miscellaneous,1.0,B,34.47138889,-119.195,CA,,2453569.5,2453569.5
2005,Lightning,0.1,A,34.45166667,-110.66611111,AZ,17,2453517.5,2453518.5
2005,Lightning,0.1,A,34.36361111,-110.40416667,AZ,17,2453518.5,2453518.5
2005,Lightning,2.0,B,33.71611111,-111.21777778,AZ,7,2453542.5,2453542.5
2005,Miscellaneous,2.0,B,33.95972222,-111.39805556,AZ,7,2453554.5,2453554.5
2005,Lightning,16100.0,G,33.72333333,-111.275,AZ,7,2453542.5,2453550.5
